race date,horse_name,position,horse_age,bha_rating,draw,trainer_name,jockey_name,prize money 1,course name,race_age,race_title,Qaurter,race distance,odds
11/12/2018,Tilsworth Sammy,3,3,0,8,J R Jenkins,William Cox,3752,SOUTHWELL (A.W),3-5YO,BETWAY MEDIAN AUCTION MAIDEN STAKES (5),3rd,11,0.02
11/12/2018,Huntsmans Close,2,8,63,3,David C Griffiths,Phil Dennis,3105,SOUTHWELL (A.W),4YO+,BETWAY DASH HANDICAP (6),3rd,6,0.03030303
11/12/2018,Mininggold,3,5,56,14,Michael Dods,Paula Muir,3105,SOUTHWELL (A.W),3YO+,BETWAY HANDICAP (6),3rd,5,0.125
11/12/2018,Maazel,6,4,56,5,Julia Feilden,Shelley Birkett,3752,SOUTHWELL (A.W),3YO+,SUNRACING.CO.UK HANDICAP (DIV II) (5),3rd,8,0.04
11/12/2018,Honey Gg,2,3,57,7,Declan Carroll,Paddy Mathers,3105,SOUTHWELL (A.W),3YO+,BETWAY HANDICAP (6),3rd,5,0.363636364
11/12/2018,Eponina,7,4,65,7,Michael Appleby,Alistair Rawlinson,3105,SOUTHWELL (A.W),4YO+,BETWAY DASH HANDICAP (6),3rd,6,0.285714286
11/12/2018,Bold Spirit,8,7,67,12,Declan Carroll,Callum Shepherd,3752,SOUTHWELL (A.W),3YO+,SUNRACING.CO.UK HANDICAP (DIV II) (5),3rd,8,0.04
11/12/2018,Buonarroti,8,7,68,7,Declan Carroll,Callum Shepherd,3752,SOUTHWELL (A.W),3YO+,BETWAY STAYERS HANDICAP (5),3rd,16,0.125
11/12/2018,National Anthem,8,3,0,2,John Balding,Lewis Edmunds,3752,SOUTHWELL (A.W),3YO+,BETWAY NOVICE STAKES (5),3rd,5,0.181818182
11/12/2018,Shearian,2,8,65,5,Declan Carroll,Callum Shepherd,3752,SOUTHWELL (A.W),3YO+,SUNRACING.CO.UK HANDICAP (DIV I) (5),3rd,8,0.133333333
11/12/2018,Karezak,11,7,77,5,Alan King,Martin Harley,6728,SOUTHWELL (A.W),3YO+,BETWAY HANDICAP (4),3rd,12,0.125
11/12/2018,Home Before Dusk,4,3,70,9,Keith Dalgleish,Graham Lee,3752,SOUTHWELL (A.W),3-5YO,BETWAY MEDIAN AUCTION MAIDEN STAKES (5),3rd,11,0.8
11/12/2018,Lucky Beggar,11,8,65,11,David C Griffiths,Tom Marquand,3105,SOUTHWELL (A.W),4YO+,BETWAY DASH HANDICAP (6),3rd,6,0.1
11/12/2018,Archie Stevens,14,8,52,8,Clare Ellam,Paddy Aspell,3105,SOUTHWELL (A.W),3YO+,BETWAY HANDICAP (6),3rd,5,0.035714286
11/12/2018,Iftiraaq,14,7,70,5,David Loughnane,Sam James,3752,SOUTHWELL (A.W),3YO+,BETWAY STAYERS HANDICAP (5),3rd,16,0.04
11/12/2018,Virnon,5,7,67,12,Sarah Humphrey,Dougie Costello,3752,SOUTHWELL (A.W),3YO+,BETWAY STAYERS HANDICAP (5),3rd,16,0.025
11/12/2018,Fink Hill,1,3,63,9,Richard Spencer,Charles Bishop,3752,SOUTHWELL (A.W),3YO+,BETWAY NOVICE STAKES (5),3rd,5,0.25
11/12/2018,Rebel Heart,12,4,52,10,Bill Turner,Liam Jones,3105,SOUTHWELL (A.W),4YO+,BETWAY DASH HANDICAP (6),3rd,6,0.03030303
11/12/2018,Sands Chorus,8,6,79,6,James Given,Dougie Costello,6728,SOUTHWELL (A.W),3YO+,BETWAY HANDICAP (4),3rd,12,0.05
11/12/2018,,13,3,52,4,Derek Shaw,Cam Hardie,3105,SOUTHWELL (A.W),3YO+,BETWAY HANDICAP (6),3rd,5,0.03030303
11/12/2018,,9,7,70,7,John Butler,Robert Winston,3752,SOUTHWELL (A.W),3YO+,SUNRACING.CO.UK HANDICAP (DIV II) (5),3rd,8,0.083333333
11/12/2018,,9,10,72,8,Brian Ellison,Kieran Schofield,3752,SOUTHWELL (A.W),3YO+,BETWAY STAYERS HANDICAP (5),3rd,16,0.0625
11/12/2018,,3,4,62,2,John Butler,Robert Winston,3752,SOUTHWELL (A.W),3YO+,SUNRACING.CO.UK HANDICAP (DIV I) (5),3rd,8,0.025
11/12/2018,Count Montecristo,9,6,67,1,Roger Fell,Paula Muir,3752,SOUTHWELL (A.W),3YO+,SUNRACING.CO.UK HANDICAP (DIV I) (5),3rd,8,0.0625
11/12/2018,Sbraase,2,7,58,3,Gavin Cromwell,Robert Winston,3752,SOUTHWELL (A.W),3YO+,BETWAY STAYERS HANDICAP (5),3rd,16,0.363636364
11/12/2018,Keepup Kevin,4,4,70,13,Pam Sly,Rob Hornby,3752,SOUTHWELL (A.W),3YO+,SUNRACING.CO.UK HANDICAP (DIV I) (5),3rd,8,0.2
11/12/2018,Khaan,6,3,0,2,Michael Appleby,Kevin Lundie,3752,SOUTHWELL (A.W),3-5YO,BETWAY MEDIAN AUCTION MAIDEN STAKES (5),3rd,11,0.1
11/12/2018,Lovelysimplylovely,7,3,0,6,Daniel Mark Loughnane,Liam Jones,3752,SOUTHWELL (A.W),3-5YO,BETWAY MEDIAN AUCTION MAIDEN STAKES (5),3rd,11,0.05
11/12/2018,Archimedes,13,5,65,14,David C Griffiths,Hayley Turner,3105,SOUTHWELL (A.W),4YO+,BETWAY DASH HANDICAP (6),3rd,6,0.071428571
11/12/2018,Normandy Blue,10,3,56,4,Louise Allan,Joe Fanning,3752,SOUTHWELL (A.W),3YO+,BETWAY STAYERS HANDICAP (5),3rd,16,0.1
11/12/2018,Goldfox Girl,11,3,56,6,Michael Appleby,Andrew Mullen,3752,SOUTHWELL (A.W),3YO+,BETWAY STAYERS HANDICAP (5),3rd,16,0.03030303
11/12/2018,All My Love,5,6,75,8,Pam Sly,Rob Hornby,6728,SOUTHWELL (A.W),3YO+,BETWAY HANDICAP (4),3rd,12,0.083333333
11/12/2018,Weld Al Emarat,1,6,70,1,Michael Easterby,Nathan Evans,3752,SOUTHWELL (A.W),3YO+,SUNRACING.CO.UK HANDICAP (DIV II) (5),3rd,8,0.25
11/12/2018,Fieldsman,3,6,65,3,David C Griffiths,Tom Marquand,3752,SOUTHWELL (A.W),3YO+,SUNRACING.CO.UK HANDICAP (DIV II) (5),3rd,8,0.111111111
11/12/2018,Tommy Docc,9,6,80,11,Keith Dalgleish,Graham Lee,6728,SOUTHWELL (A.W),3YO+,BETWAY HANDICAP (4),3rd,12,0.0625
11/12/2018,Dommersen,6,5,87,1,Roger Fell,Luke Morris,6728,SOUTHWELL (A.W),3YO+,BETWAY HANDICAP (4),3rd,12,0.03030303
11/12/2018,Telekinetic,8,3,0,3,Julia Feilden,Shelley Birkett,3752,SOUTHWELL (A.W),3-5YO,BETWAY MEDIAN AUCTION MAIDEN STAKES (5),3rd,11,0.03030303
11/12/2018,Roaring Rory,4,5,61,4,Ollie Pears,Shane Gray,3105,SOUTHWELL (A.W),4YO+,BETWAY DASH HANDICAP (6),3rd,6,0.071428571
11/12/2018,Jean Excels,9,3,0,4,Roy Bowring,Robert Winston,3752,SOUTHWELL (A.W),3YO+,BETWAY NOVICE STAKES (5),3rd,5,0.111111111
11/12/2018,Victoria Drummond,1,3,79,3,Mark Johnston,P J McDonald,6728,SOUTHWELL (A.W),3YO+,BETWAY HANDICAP (4),3rd,12,0.25
11/12/2018,Sociologist,1,3,71,4,Scott Dixon,Theodore Ladd,3752,SOUTHWELL (A.W),3-5YO,BETWAY MEDIAN AUCTION MAIDEN STAKES (5),3rd,11,0.285714286
11/12/2018,Someone Exciting,9,5,55,6,David Thompson,Joe Fanning,3105,SOUTHWELL (A.W),4YO+,BETWAY DASH HANDICAP (6),3rd,6,0.083333333
11/12/2018,Colwood,4,4,63,11,Robert Eddery,Andrew Breslin,3752,SOUTHWELL (A.W),3YO+,BETWAY STAYERS HANDICAP (5),3rd,16,0.04
11/12/2018,Broken Time,11,3,42,3,Noel Wilson,Graham Lee,3752,SOUTHWELL (A.W),3YO+,BETWAY NOVICE STAKES (5),3rd,5,0.02
11/12/2018,Black Salt,1,4,64,13,David Barron,Dougie Costello,3105,SOUTHWELL (A.W),4YO+,BETWAY DASH HANDICAP (6),3rd,6,0.111111111
11/12/2018,Invisible Storm,10,3,55,5,William Stone,Hector Crouch,3105,SOUTHWELL (A.W),3YO+,BETWAY HANDICAP (6),3rd,5,0.04
11/12/2018,Mr Strutter,5,4,61,5,Ronald Thompson,R P Walsh,3105,SOUTHWELL (A.W),4YO+,BETWAY DASH HANDICAP (6),3rd,6,0.166666667
11/12/2018,Fareeq,9,4,60,12,Charlie Wallis,P J McDonald,3105,SOUTHWELL (A.W),3YO+,BETWAY HANDICAP (6),3rd,5,0.2
11/12/2018,Amazing Michele,7,3,80,9,Richard Fahey,Paddy Mathers,6728,SOUTHWELL (A.W),3YO+,BETWAY HANDICAP (4),3rd,12,0.1
11/12/2018,The Last Debutante,1,4,66,1,Mark Johnston,Oliver Stammers,3752,SOUTHWELL (A.W),3YO+,BETWAY STAYERS HANDICAP (5),3rd,16,0.166666667
11/12/2018,Maybe Today,2,3,84,10,Simon Crisford,Jack Mitchell,6728,SOUTHWELL (A.W),3YO+,BETWAY HANDICAP (4),3rd,12,0.666666667
11/12/2018,Placebo Effect,5,3,69,10,Ollie Pears,Andrew Mullen,3752,SOUTHWELL (A.W),3YO+,SUNRACING.CO.UK HANDICAP (DIV I) (5),3rd,8,0.083333333
11/12/2018,Milan Reef,10,3,62,8,David Loughnane,Josephine Gordon,3752,SOUTHWELL (A.W),3YO+,SUNRACING.CO.UK HANDICAP (DIV I) (5),3rd,8,0.025
11/12/2018,Knightly Spirit,2,3,72,1,Iain Jardine,Luke Morris,3752,SOUTHWELL (A.W),3-5YO,BETWAY MEDIAN AUCTION MAIDEN STAKES (5),3rd,11,0.3
11/12/2018,Paramount Love,7,3,72,12,Richard Fahey,Tony Hamilton,3752,SOUTHWELL (A.W),3YO+,SUNRACING.CO.UK HANDICAP (DIV I) (5),3rd,8,0.0625
11/12/2018,Optimickstickhill,11,3,49,3,Scott Dixon,Theodore Ladd,3105,SOUTHWELL (A.W),3YO+,BETWAY HANDICAP (6),3rd,5,0.083333333
11/12/2018,Gilded Heaven,5,3,71,9,Roger Varian,Jack Mitchell,3752,SOUTHWELL (A.W),3YO+,SUNRACING.CO.UK HANDICAP (DIV II) (5),3rd,8,0.533333333
11/12/2018,Barney Bullet,8,3,46,2,Noel Wilson,Luke Morris,3105,SOUTHWELL (A.W),3YO+,BETWAY HANDICAP (6),3rd,5,0.02
11/12/2018,Gorgeous General,4,3,44,6,Lawrence Mullaney,Phil Dennis,3752,SOUTHWELL (A.W),3YO+,BETWAY NOVICE STAKES (5),3rd,5,0.03030303
11/12/2018,Dream For Life,10,3,57,7,Robert Cowell,Eoin Walsh,3752,SOUTHWELL (A.W),3YO+,BETWAY NOVICE STAKES (5),3rd,5,0.04
11/12/2018,Poeta Brasileiro,3,3,0,11,Jose Santos,Raul Da Silva,3752,SOUTHWELL (A.W),3YO+,BETWAY NOVICE STAKES (5),3rd,5,0.0625
10/12/2018,Sumner Beach,3,4,57,8,Brian Ellison,Ben Robinson,3752,WOLVERHAMPTON (A.W),3YO+,GRAND THEATRE WOLVERHAMPTON HANDICAP (DIV I) (5),3rd,9,0.153846154
10/12/2018,Swansdown,10,2,0,3,Luca Cumani,Jamie Spencer,7763,NEWMARKET,2YO,GODOLPHIN UNDER STARTERS ORDERS MAIDEN FILLIES' STAKES (PLUS 10 RACE) (DIV II) (3),3rd,7,0.025
10/12/2018,Pretty Pollyanna,3,2,117,4,Michael Bell,Daniel Tudhope,283550,NEWMARKET,2YO,BET365 FILLIES' MILE (GROUP 1) (1),3rd,8,0.285714286
10/12/2018,Fragrant Dawn,3,2,0,6,Charles Hills,Harry Bentley,7763,NEWMARKET,2YO,GODOLPHIN UNDER STARTERS ORDERS MAIDEN FILLIES' STAKES (PLUS 10 RACE) (DIV I) (3),3rd,7,0.025
10/12/2018,Dalton,6,4,85,4,Julie Camacho,Callum Rodriguez,9962,YORK,3YO+,IRISH THOROUGHBRED MARKETING HANDICAP (4),3rd,6,0.153846154
10/12/2018,Breanski,7,4,88,14,Jedd O'Keeffe,Antonio Fresu,18675,YORK,4YO+,RACEBETS MONEY BACK 2ND 3RD 4TH HANDICAP (2),3rd,8,0.090909091
10/12/2018,Enchanted Linda,4,2,78,14,Richard Hannon,Silvestre De Sousa,9704,YORK,2YO,TSG KEEPING IT REAL NURSERY HANDICAP (3),3rd,5,0.181818182
10/12/2018,Cotton Club,6,7,84,4,Richard Mitchell,William Cox,5531,WOLVERHAMPTON (A.W),3YO+,FOLLOW AT THE RACES ON INSTAGRAM HANDICAP (4),3rd,12,0.02
10/12/2018,Mountain Of Stars,10,3,30,3,Suzzanne France,Paddy Aspell,3105,WOLVERHAMPTON (A.W),3YO+,WOLVERHAMPTON HOLIDAY INN CLASSIFIED STAKES (6),3rd,6,0.01
10/12/2018,Lynwood Gold,3,3,90,2,Mark Johnston,Joe Fanning,62250,YORK,3YO,RACEBETS HANDICAP (2),3rd,14,0.05
10/12/2018,Danehill Desert,2,3,65,2,Richard Fahey,Connor Murtagh,3752,WOLVERHAMPTON (A.W),3YO+,ATTHERACES.COM HANDICAP (5),3rd,5,0.153846154
10/12/2018,D'bai,3,4,111,4,Charlie Appleby,William Buick,68052,NEWMARKET,3YO+,GODOLPHIN STUD AND STABLE STAFF AWARDS CHALLENGE STAKES (GROUP 2) (1),3rd,7,0.333333333
10/12/2018,Bossipop,3,5,81,9,Tim Easterby,Jamie Gormley,12450,YORK,3YO+,PARSONAGE HOTEL AND CLOISTERS SPA HANDICAP (3),3rd,5,0.03030303
10/12/2018,Mystical Moon,7,3,47,9,David C Griffiths,Liam Keniry,3105,WOLVERHAMPTON (A.W),3YO+,WOLVERHAMPTON HOLIDAY INN CLASSIFIED STAKES (6),3rd,6,0.083333333
10/12/2018,The Great Story,4,2,0,5,George Scott,Paul Hanagan,9704,YORK,2YO,ELEVATOR COMPANY EBF NOVICE AUCTION STAKES (PLUS 10 RACE) (3),3rd,8,0.142857143
10/12/2018,Shambolic,4,2,90,6,John Gosden,Frankie Dettori,283550,NEWMARKET,2YO,BET365 FILLIES' MILE (GROUP 1) (1),3rd,8,0.071428571
10/12/2018,Sharg,5,3,70,1,Richard Hannon,Rossa Ryan,3752,WOLVERHAMPTON (A.W),3YO+,GRAND THEATRE WOLVERHAMPTON HANDICAP (DIV I) (5),3rd,9,0.2
10/12/2018,Fantasy,10,2,92,2,A P O'Brien,Seamie Heffernan,34026,NEWMARKET,2YO,NEWMARKET ACADEMY GODOLPHIN BEACON PROJECT CORNWALLIS STAKES (GROUP 3) (1),3rd,5,0.04
10/12/2018,Related,7,8,82,8,Paul Midgley,David Probert,9962,YORK,3YO+,IRISH THOROUGHBRED MARKETING HANDICAP (4),3rd,6,0.04
10/12/2018,The Bull,4,3,53,10,Ben Haslam,Andrew Mullen,3105,WOLVERHAMPTON (A.W),3YO+,WOLVERHAMPTON HOLIDAY INN CLASSIFIED STAKES (6),3rd,6,0.05
10/12/2018,Berkshire Royal,9,3,86,2,Andrew Balding,Franny Norton,74700,NEWMARKET,3YO,BET365 OLD ROWLEY CUP HANDICAP (HERITAGE HANDICAP) (2),3rd,12,0.166666667
10/12/2018,Malaysian Boleh,5,8,51,3,Phil McEntee,Rossa Ryan,3105,WOLVERHAMPTON (A.W),3YO+,FOLLOW AT THE RACES ON FACEBOOK HANDICAP (6),3rd,7,0.333333333
10/12/2018,Screaming Gemini,8,4,66,4,David Brown,Jason Watson,3752,WOLVERHAMPTON (A.W),3YO+,GRAND THEATRE WOLVERHAMPTON HANDICAP (DIV I) (5),3rd,9,0.2
10/12/2018,Mardle,16,2,0,16,K R Burke,Silvestre De Sousa,9704,YORK,2YO,ELEVATOR COMPANY EBF NOVICE AUCTION STAKES (PLUS 10 RACE) (3),3rd,8,0.125
10/12/2018,Signore Piccolo,8,7,80,7,David Loughnane,Joey Haynes,12450,YORK,3YO+,PARSONAGE HOTEL AND CLOISTERS SPA HANDICAP (3),3rd,5,0.04
10/12/2018,March For Men,2,2,64,12,Tom Dascombe,Alistair Rawlinson,3752,WOLVERHAMPTON (A.W),2YO,BLACK COUNTRY CHAMBER OF COMMERCE SELLING STAKES (5),3rd,6,0.222222222
10/12/2018,Soto Sizzler,8,3,85,3,William Knight,Jimmy Quinn,74700,NEWMARKET,3YO,BET365 OLD ROWLEY CUP HANDICAP (HERITAGE HANDICAP) (2),3rd,12,0.111111111
10/12/2018,Queen Of Time,3,4,96,10,Henry Candy,Adam Kirby,22684,NEWMARKET,3YO+,JUMEIRAH AL QASR PRIDE STAKES (LISTED RACE) (FILLIES & MARES) (1),3rd,10,0.142857143
10/12/2018,Just Hiss,1,5,86,5,Tim Easterby,Rachel Richardson,18675,YORK,4YO+,RACEBETS MONEY BACK 2ND 3RD 4TH HANDICAP (2),3rd,8,0.111111111
10/12/2018,Forbidden Planet,2,3,68,1,Dominic Ffrench Davis,Rob Hornby,3752,WOLVERHAMPTON (A.W),3YO+,GRAND THEATRE WOLVERHAMPTON HANDICAP (DIV II) (5),3rd,9,0.083333333
10/12/2018,Queen Power,1,2,0,9,Ralph Beckett,Harry Bentley,7763,NEWMARKET,2YO,GODOLPHIN UNDER STARTERS ORDERS MAIDEN FILLIES' STAKES (PLUS 10 RACE) (DIV II) (3),3rd,7,0.25
10/12/2018,Nettie Honeyball,10,2,0,4,Nigel Tinkler,Rowan Scott,9704,YORK,2YO,BRITISH EBF SUPPORTING RACING TO SCHOOL NOVICE STAKES (PLUS 10 RACE) (3),3rd,5,0.006666667
10/12/2018,Breath Caught,5,3,97,1,Ralph Beckett,Oisin Murphy,74700,NEWMARKET,3YO,BET365 OLD ROWLEY CUP HANDICAP (HERITAGE HANDICAP) (2),3rd,12,0.083333333
10/12/2018,Caledonia Laird,6,7,54,7,Jo Hughes,Franny Norton,3105,WOLVERHAMPTON (A.W),3YO+,FOLLOW AT THE RACES ON FACEBOOK HANDICAP (6),3rd,7,0.142857143
10/12/2018,Paddy Power,16,5,82,15,Richard Fahey,Paddy Mathers,9962,YORK,3YO+,IRISH THOROUGHBRED MARKETING HANDICAP (4),3rd,6,0.045454545
10/12/2018,Watchable,6,8,90,18,David O'Meara,David Nolan,12450,YORK,3YO+,PARSONAGE HOTEL AND CLOISTERS SPA HANDICAP (3),3rd,5,0.05
10/12/2018,Queen Of Bradgate,9,2,0,10,Ivan Furtado,Joey Haynes,9704,YORK,2YO,BRITISH EBF SUPPORTING RACING TO SCHOOL NOVICE STAKES (PLUS 10 RACE) (3),3rd,5,0.006666667
10/12/2018,Waarif,2,5,100,11,David O'Meara,Conor McGovern,18675,YORK,4YO+,RACEBETS MONEY BACK 2ND 3RD 4TH HANDICAP (2),3rd,8,0.071428571
10/12/2018,Just Glamorous,9,5,94,11,Ronald Harris,David Probert,12450,YORK,3YO+,PARSONAGE HOTEL AND CLOISTERS SPA HANDICAP (3),3rd,5,0.083333333
10/12/2018,Three Card Trick,9,2,84,7,Kevin Ryan,Kevin Stott,9704,YORK,2YO,TSG KEEPING IT REAL NURSERY HANDICAP (3),3rd,5,0.333333333
10/12/2018,Emerald Approach,8,2,0,3,Clive Cox,Adam Kirby,34026,NEWMARKET,2YO,GODOLPHIN LIFETIME CARE OH SO SHARP STAKES (GROUP 3) (FILLIES) (1),3rd,7,0.025
10/12/2018,Rock Eagle,1,3,92,10,Ralph Beckett,Harry Bentley,74700,NEWMARKET,3YO,BET365 OLD ROWLEY CUP HANDICAP (HERITAGE HANDICAP) (2),3rd,12,0.333333333
10/12/2018,Malika I Jahan,6,2,0,10,David Lanigan,Josephine Gordon,7763,NEWMARKET,2YO,GODOLPHIN UNDER STARTERS ORDERS MAIDEN FILLIES' STAKES (PLUS 10 RACE) (DIV II) (3),3rd,7,0.04
10/12/2018,Cupid's Arrow,9,4,49,5,Ruth Carr,James Sullivan,3105,WOLVERHAMPTON (A.W),3YO+,WOLVERHAMPTON HOLIDAY INN CLASSIFIED STAKES (6),3rd,6,0.1
10/12/2018,Agent Gibbs,9,6,77,1,John O'Shea,Kate Leahy,5531,WOLVERHAMPTON (A.W),3YO+,FOLLOW AT THE RACES ON INSTAGRAM HANDICAP (4),3rd,12,0.04
10/12/2018,Breathoffreshair,9,4,55,2,Richard Guest,Philip Prince,3105,WOLVERHAMPTON (A.W),3YO+,FOLLOW AT THE RACES ON FACEBOOK HANDICAP (6),3rd,7,0.05
10/12/2018,Intrepidly,11,4,87,8,Henry Spiller,Jason Watson,5531,WOLVERHAMPTON (A.W),3YO+,FOLLOW AT THE RACES ON INSTAGRAM HANDICAP (4),3rd,12,0.0625
10/12/2018,Henley,17,6,89,1,Tracy Waggott,Silvestre De Sousa,12450,YORK,3YO+,PARSONAGE HOTEL AND CLOISTERS SPA HANDICAP (3),3rd,5,0.111111111
10/12/2018,Al Mikdam,3,2,0,1,Saeed bin Suroor,Hayley Turner,3752,WOLVERHAMPTON (A.W),2YO,BRITISH STALLION STUDS EBF NOVICE STAKES (5),3rd,9,0.285714286
10/12/2018,Lariat,3,2,0,1,Andrew Balding,David Probert,9704,YORK,2YO,ELEVATOR COMPANY EBF NOVICE AUCTION STAKES (PLUS 10 RACE) (3),3rd,8,0.142857143
10/12/2018,Dark Lochnagar,6,2,0,2,Keith Dalgleish,Tom Queally,3752,WOLVERHAMPTON (A.W),2YO,BRITISH STALLION STUDS EBF NOVICE STAKES (5),3rd,9,0.03030303
10/12/2018,Nicholas T,13,6,88,1,Jim Goldie,Alistair Rawlinson,18675,YORK,4YO+,RACEBETS MONEY BACK 2ND 3RD 4TH HANDICAP (2),3rd,8,0.111111111
